Scope,Position,Archetype,Attribute,Count,Min,P10,P25,Median,P75,P90,P95,P99,Max,Reliable
Position,SS,,Carrying,1014,1.00,3.00,6.00,10.00,14.00,19.00,21.00,24.00,28.00,true
Position,SS,,Catching,1014,3.00,8.00,10.00,14.00,19.00,28.00,33.00,41.00,52.00,true
Position,SS,,RouteRunning,1014,0.00,1.00,3.00,5.00,8.00,10.00,12.35,18.87,25.00,true
Position,SS,,ZoneCoverage,1014,13.00,20.00,25.00,32.00,39.00,46.00,51.00,58.00,65.00,true
Position,SS,,ManCoverage,1014,14.00,20.00,25.00,31.00,38.00,45.00,51.35,59.87,75.00,true
Position,SS,,Tackle,1014,5.00,10.00,13.25,20.00,26.00,33.00,37.00,42.87,50.00,true
Position,SS,,PassBlock,1014,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,SS,,RunBlock,1014,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,16.00,true
Position,SS,,PassRush,1014,0.00,2.00,3.00,6.00,8.00,10.00,11.00,14.00,16.00,true
Position,SS,,RunDefense,1014,7.00,15.00,19.00,25.00,31.00,37.00,41.00,48.00,53.00,true
Position,SS,,ThrowPower,1014,0.00,3.00,6.00,10.00,14.00,18.00,21.00,24.00,30.00,true
Position,SS,,ThrowAccuracy,1014,0.00,3.00,6.00,10.00,14.00,18.00,20.00,24.00,30.00,true
Position,SS,,KickAccuracy,1014,0.00,2.00,3.00,6.00,8.00,10.00,11.00,15.00,16.00,true
Position,SS,,KickPower,1014,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.87,17.00,true
Position,SS,,PuntAccuracy,1014,0.00,2.00,3.00,6.00,8.00,10.00,11.00,13.00,16.00,true
Position,SS,,PuntPower,1014,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,K,,Speed,741,0.00,3.00,6.00,9.00,14.00,18.00,20.00,24.00,28.00,true
Position,K,,Agility,741,0.00,3.00,6.00,10.00,14.00,19.00,21.00,25.00,29.00,true
Position,K,,FootballIQ,741,5.00,8.00,11.00,14.00,18.00,22.00,24.00,28.00,30.00,true
Position,K,,Strength,741,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,K,,Carrying,741,0.00,3.00,6.00,10.00,13.00,19.00,20.00,24.00,30.00,true
Position,K,,Catching,741,0.00,3.00,6.00,10.00,14.00,19.00,21.00,25.00,26.00,true
Position,K,,RouteRunning,741,0.00,1.00,3.00,6.00,8.00,9.00,10.00,12.60,16.00,true
Position,K,,ZoneCoverage,741,1.00,3.00,6.00,10.00,14.00,18.00,20.00,23.00,25.00,true
Position,K,,ManCoverage,741,0.00,3.00,6.00,9.00,14.00,18.00,20.00,25.00,26.00,true
Position,K,,Tackle,741,0.00,2.00,3.00,6.00,8.00,10.00,11.00,14.60,16.00,true
Position,K,,PassBlock,741,0.00,2.00,3.00,6.00,8.00,10.00,11.00,14.00,15.00,true
Position,K,,RunBlock,741,0.00,2.00,3.00,6.00,8.00,10.00,11.00,12.60,16.00,true
Position,K,,PassRush,741,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,K,,RunDefense,741,0.00,2.00,3.00,6.00,8.00,10.00,11.00,14.60,16.00,true
Position,K,,ThrowPower,741,1.00,3.00,5.00,9.00,14.00,18.00,20.00,25.00,27.00,true
Position,K,,ThrowAccuracy,741,0.00,3.00,6.00,9.00,13.00,18.00,20.00,24.00,27.00,true
Position,K,,KickAccuracy,741,6.00,13.00,19.00,25.00,32.00,41.00,46.00,54.60,62.00,true
Position,K,,KickPower,741,5.00,12.00,18.00,25.00,33.00,42.00,47.00,55.00,60.00,true
Position,K,,PuntAccuracy,741,0.00,3.00,6.00,9.00,14.00,18.00,20.00,24.00,30.00,true
Position,K,,PuntPower,741,0.00,3.00,6.00,9.00,14.00,18.00,20.00,24.60,28.00,true
Position,OG,,Speed,1660,10.00,14.90,16.00,19.00,22.00,24.00,25.00,28.00,31.00,true
Position,OG,,Agility,1660,3.00,8.00,11.00,14.00,18.00,23.00,28.00,38.00,47.00,true
Position,OG,,FootballIQ,1660,3.00,11.00,13.75,18.00,24.00,29.00,32.00,38.00,46.00,true
Position,OG,,Strength,1660,25.00,35.00,39.00,44.00,50.00,55.00,59.00,65.00,76.00,true
Position,OG,,Carrying,1660,0.00,4.00,7.00,10.00,15.00,19.00,21.00,25.00,31.00,true
Position,OG,,Catching,1660,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,35.00,true
Position,OG,,RouteRunning,1660,0.00,1.00,3.00,6.00,8.00,10.00,10.00,14.00,16.00,true
Position,OG,,ZoneCoverage,1660,0.00,3.00,7.00,10.00,15.00,19.00,20.00,25.00,29.00,true
Position,OG,,ManCoverage,1660,0.00,4.00,7.00,10.00,15.00,19.00,21.00,25.00,31.00,true
Position,OG,,Tackle,1660,0.00,4.00,7.00,10.00,15.00,19.00,21.00,25.00,30.00,true
Position,OG,,PassBlock,1660,7.00,18.00,23.75,31.00,38.00,45.00,49.00,57.41,69.00,true
Position,OG,,RunBlock,1660,6.00,17.00,22.00,29.00,36.00,43.00,47.00,54.41,64.00,true
Position,OG,,PassRush,1660,0.00,2.00,5.00,8.00,11.00,16.00,19.00,24.00,28.00,true
Position,OG,,RunDefense,1660,0.00,2.00,4.00,7.00,9.00,13.00,15.00,18.00,23.00,true
Position,OG,,ThrowPower,1660,0.00,2.00,4.00,8.00,11.00,16.00,19.00,24.00,28.00,true
Position,OG,,ThrowAccuracy,1660,0.00,2.00,5.00,8.00,11.00,16.00,19.00,23.00,30.00,true
Position,OG,,KickAccuracy,1660,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,18.00,true
Position,OG,,KickPower,1660,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,17.00,true
Position,OG,,PuntAccuracy,1660,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,17.00,true
Position,OG,,PuntPower,1660,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,17.00,true
Position,OLB,,Speed,1907,18.00,26.00,31.00,40.00,49.00,57.40,62.00,70.00,84.00,true
Position,OLB,,Agility,1907,10.00,19.00,23.00,29.00,36.00,42.00,45.00,52.00,61.00,true
Position,OLB,,FootballIQ,1907,6.00,11.00,14.00,19.00,25.00,30.00,33.00,37.00,50.00,true
Position,OLB,,Strength,1907,10.00,18.00,23.00,29.00,35.00,42.00,46.00,54.00,61.00,true
Position,OLB,,Carrying,1907,0.00,4.00,6.00,10.00,15.00,19.00,21.00,25.00,30.00,true
Position,OLB,,Catching,1907,0.00,4.00,7.00,11.00,16.00,20.00,22.00,26.00,30.00,true
Position,OLB,,RouteRunning,1907,0.00,1.00,3.00,5.00,8.00,10.00,10.00,14.00,15.00,true
Position,OLB,,ZoneCoverage,1907,7.00,15.00,19.00,26.00,32.00,39.00,43.00,50.00,64.00,true
Position,OLB,,ManCoverage,1907,7.00,14.00,19.00,26.00,32.00,39.00,43.00,50.00,65.00,true
Position,OLB,,Tackle,1907,17.00,25.00,29.00,34.00,40.00,45.00,49.00,53.00,63.00,true
Position,OLB,,PassBlock,1907,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,18.00,true
Position,OLB,,RunBlock,1907,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,OLB,,PassRush,1907,4.00,9.00,13.00,19.00,33.00,45.00,49.00,57.00,71.00,true
Position,OLB,,RunDefense,1907,10.00,18.00,23.00,30.00,36.00,42.00,47.00,53.94,63.00,true
Position,OLB,,ThrowPower,1907,0.00,4.00,7.00,10.00,15.00,19.00,20.70,25.00,32.00,true
Position,OLB,,ThrowAccuracy,1907,0.00,4.00,7.00,10.00,15.00,19.00,21.00,25.00,31.00,true
Position,OLB,,KickAccuracy,1907,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,17.00,true
Position,OLB,,KickPower,1907,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,OLB,,PuntAccuracy,1907,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,OLB,,PuntPower,1907,0.00,2.00,3.00,6.00,8.00,10.00,11.00,14.00,17.00,true
Position,C,,Speed,976,11.00,14.00,16.00,19.00,22.00,24.00,25.00,28.00,30.00,true
Position,C,,Agility,976,4.00,8.00,10.00,14.00,17.00,22.00,28.00,36.00,45.00,true
Position,C,,FootballIQ,976,5.00,11.00,14.00,21.00,32.00,40.00,45.00,51.25,66.00,true
Position,C,,Strength,976,29.00,35.00,38.00,43.00,49.00,55.00,58.00,66.25,75.00,true
Position,C,,Carrying,976,0.00,3.00,6.00,10.00,14.00,19.00,21.00,24.25,27.00,true
Position,C,,Catching,976,0.00,4.00,7.00,10.00,15.00,19.00,21.00,25.25,33.00,true
Position,C,,RouteRunning,976,0.00,1.00,3.00,5.00,8.00,10.00,10.00,14.00,16.00,true
Position,C,,ZoneCoverage,976,0.00,4.00,6.00,10.00,14.00,18.00,20.00,25.00,30.00,true
Position,C,,ManCoverage,976,1.00,3.00,6.00,10.00,14.00,18.00,21.00,25.00,28.00,true
Position,C,,Tackle,976,1.00,3.00,6.00,10.00,15.00,18.00,20.25,25.00,30.00,true
Position,C,,PassBlock,976,9.00,16.00,21.00,27.50,35.00,43.00,48.00,55.00,63.00,true
Position,C,,RunBlock,976,9.00,16.00,20.00,27.00,34.00,41.00,45.00,54.25,65.00,true
Position,C,,PassRush,976,0.00,2.00,5.00,8.00,11.00,16.00,19.00,24.00,30.00,true
Position,C,,RunDefense,976,0.00,2.00,4.00,7.00,10.00,12.00,14.00,17.25,20.00,true
Position,C,,ThrowPower,976,1.00,2.00,5.00,8.00,11.00,15.00,19.00,24.00,27.00,true
Position,C,,ThrowAccuracy,976,0.00,2.00,5.00,8.00,11.00,15.00,19.00,25.00,32.00,true
Position,C,,KickAccuracy,976,0.00,2.00,4.00,6.00,9.00,10.00,11.25,14.25,17.00,true
Position,C,,KickPower,976,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,C,,PuntAccuracy,976,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,C,,PuntPower,976,0.00,2.00,3.75,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,TE,,Speed,1343,17.00,28.00,33.00,41.00,48.00,55.00,60.00,67.00,75.00,true
Position,TE,,Agility,1343,6.00,17.00,20.00,26.00,32.00,38.00,41.00,49.00,56.00,true
Position,TE,,FootballIQ,1343,5.00,11.00,13.00,18.00,24.00,29.00,32.00,37.58,43.00,true
Position,TE,,Strength,1343,20.00,28.00,33.00,38.00,45.00,50.00,54.00,60.00,71.00,true
Position,TE,,Carrying,1343,4.00,13.00,15.00,19.00,23.50,28.00,32.00,38.00,43.00,true
Position,TE,,Catching,1343,8.00,17.00,21.00,27.00,32.50,39.00,42.00,48.58,55.00,true
Position,TE,,RouteRunning,1343,1.00,9.00,12.00,16.00,21.00,26.00,29.00,35.00,43.00,true
Position,TE,,ZoneCoverage,1343,0.00,3.00,6.00,10.00,15.00,19.00,21.00,25.00,30.00,true
Position,TE,,ManCoverage,1343,0.00,4.00,6.00,10.00,15.00,19.00,20.00,24.58,30.00,true
Position,TE,,Tackle,1343,1.00,3.20,6.00,10.00,15.00,19.00,21.00,24.00,29.00,true
Position,TE,,PassBlock,1343,8.00,18.00,23.00,28.00,34.00,39.00,42.00,49.58,60.00,true
Position,TE,,RunBlock,1343,15.00,21.00,24.00,29.00,35.50,41.00,44.00,52.00,59.00,true
Position,TE,,PassRush,1343,1.00,4.00,8.00,12.00,18.00,22.00,24.00,28.58,33.00,true
Position,TE,,RunDefense,1343,0.00,3.00,7.00,10.00,14.00,18.80,21.00,25.00,31.00,true
Position,TE,,ThrowPower,1343,0.00,4.00,7.00,10.00,15.00,19.00,20.00,25.00,31.00,true
Position,TE,,ThrowAccuracy,1343,1.00,3.20,7.00,10.00,15.00,19.00,21.00,24.00,27.00,true
Position,TE,,KickAccuracy,1343,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,16.00,true
Position,TE,,KickPower,1343,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,18.00,true
Position,TE,,PuntAccuracy,1343,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,16.00,true
Position,TE,,PuntPower,1343,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,DT,,Speed,1792,7.00,16.00,20.00,25.00,29.00,34.00,37.00,43.00,51.00,true
Position,DT,,Agility,1792,3.00,12.00,17.00,22.00,29.00,35.00,38.00,45.00,60.00,true
Position,DT,,FootballIQ,1792,1.00,10.00,13.00,18.00,23.00,29.00,32.00,39.00,49.00,true
Position,DT,,Strength,1792,15.00,23.00,27.00,33.00,39.00,47.00,51.00,59.00,70.00,true
Position,DT,,Carrying,1792,0.00,4.00,6.00,10.00,15.00,19.00,21.00,25.00,31.00,true
Position,DT,,Catching,1792,1.00,4.00,7.00,11.00,16.00,20.00,23.00,26.09,34.00,true
Position,DT,,RouteRunning,1792,0.00,1.00,3.00,6.00,8.00,10.00,10.00,14.00,16.00,true
Position,DT,,ZoneCoverage,1792,0.00,4.00,6.00,10.00,15.00,19.00,21.00,25.00,30.00,true
Position,DT,,ManCoverage,1792,0.00,3.00,6.00,10.00,15.00,19.00,21.00,25.00,30.00,true
Position,DT,,Tackle,1792,18.00,25.00,28.00,33.00,38.00,44.00,48.00,55.00,68.00,true
Position,DT,,PassBlock,1792,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,17.00,true
Position,DT,,RunBlock,1792,0.00,2.00,3.00,6.00,8.25,10.00,11.00,15.00,17.00,true
Position,DT,,PassRush,1792,3.00,13.00,17.00,23.00,29.00,36.00,39.00,47.00,56.00,true
Position,DT,,RunDefense,1792,10.00,17.10,22.00,27.00,33.00,38.00,42.00,49.00,66.00,true
Position,DT,,ThrowPower,1792,0.00,4.00,7.00,10.00,15.00,19.00,21.00,25.00,31.00,true
Position,DT,,ThrowAccuracy,1792,0.00,3.00,7.00,10.00,15.00,19.00,21.00,25.09,31.00,true
Position,DT,,KickAccuracy,1792,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,17.00,true
Position,DT,,KickPower,1792,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.09,17.00,true
Position,DT,,PuntAccuracy,1792,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,19.00,true
Position,DT,,PuntPower,1792,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,FS,,Speed,1258,30.00,36.00,40.00,45.00,51.00,58.00,62.00,70.00,80.00,true
Position,FS,,Agility,1258,18.00,25.00,28.00,33.00,39.00,45.00,49.00,56.43,62.00,true
Position,FS,,FootballIQ,1258,7.00,11.00,15.00,20.00,27.00,33.00,37.00,42.43,57.00,true
Position,FS,,Strength,1258,1.00,7.00,10.00,14.00,19.00,25.00,29.00,39.00,54.00,true
Position,FS,,Carrying,1258,0.00,4.00,7.00,10.00,15.00,19.00,21.00,25.00,32.00,true
Position,FS,,Catching,1258,1.00,8.00,10.00,14.00,20.00,30.00,36.00,45.43,52.00,true
Position,FS,,RouteRunning,1258,0.00,1.00,3.00,6.00,9.00,10.00,13.00,19.43,24.00,true
Position,FS,,ZoneCoverage,1258,15.00,21.00,25.00,33.00,41.00,48.00,52.15,61.00,74.00,true
Position,FS,,ManCoverage,1258,13.00,21.00,25.00,32.00,39.00,46.00,51.00,61.00,73.00,true
Position,FS,,Tackle,1258,5.00,11.00,14.00,20.00,26.00,33.00,37.00,45.00,56.00,true
Position,FS,,PassBlock,1258,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,FS,,RunBlock,1258,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,FS,,PassRush,1258,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,FS,,RunDefense,1258,5.00,11.00,15.00,20.00,26.00,31.00,35.15,42.00,56.00,true
Position,FS,,ThrowPower,1258,0.00,4.00,7.00,10.00,15.00,19.00,21.00,25.00,28.00,true
Position,FS,,ThrowAccuracy,1258,0.00,3.00,6.00,10.00,15.00,19.00,21.00,25.00,30.00,true
Position,FS,,KickAccuracy,1258,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,16.00,true
Position,FS,,KickPower,1258,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.43,18.00,true
Position,FS,,PuntAccuracy,1258,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,FS,,PuntPower,1258,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,CB,,Speed,2468,29.00,35.00,39.00,44.00,50.00,56.00,59.00,66.00,76.00,true
Position,CB,,Agility,2468,19.00,25.00,29.00,34.00,40.00,45.00,48.00,54.00,65.00,true
Position,CB,,FootballIQ,2468,4.00,11.00,14.00,19.00,24.00,30.00,33.00,38.33,50.00,true
Position,CB,,Strength,2468,1.00,7.00,9.00,12.00,15.00,19.00,21.00,25.00,31.00,true
Position,CB,,Carrying,2468,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,31.00,true
Position,CB,,Catching,2468,1.00,8.00,11.00,14.00,21.00,31.00,36.00,44.00,52.00,true
Position,CB,,RouteRunning,2468,0.00,2.00,5.00,8.00,13.00,17.00,20.00,24.00,30.00,true
Position,CB,,ZoneCoverage,2468,13.00,22.00,27.00,35.00,42.00,49.00,53.00,61.00,76.00,true
Position,CB,,ManCoverage,2468,14.00,23.00,27.00,35.00,42.00,49.00,53.00,59.33,74.00,true
Position,CB,,Tackle,2468,1.00,6.00,9.00,13.00,17.00,21.00,23.65,28.00,38.00,true
Position,CB,,PassBlock,2468,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,18.00,true
Position,CB,,RunBlock,2468,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,CB,,PassRush,2468,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,CB,,RunDefense,2468,1.00,3.00,5.00,8.00,10.00,13.00,15.00,17.00,22.00,true
Position,CB,,ThrowPower,2468,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,31.00,true
Position,CB,,ThrowAccuracy,2468,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,31.00,true
Position,CB,,KickAccuracy,2468,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,CB,,KickPower,2468,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,18.00,true
Position,CB,,PuntAccuracy,2468,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,17.00,true
Position,CB,,PuntPower,2468,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,WR,,Speed,2871,29.00,38.00,43.00,49.00,56.00,63.00,68.00,76.00,95.00,true
Position,WR,,Agility,2871,11.00,21.00,25.00,30.00,35.00,40.00,44.00,50.00,62.00,true
Position,WR,,FootballIQ,2871,5.00,11.00,14.00,19.00,24.00,29.00,32.00,38.00,56.00,true
Position,WR,,Strength,2871,1.00,6.00,11.00,17.00,25.00,31.00,35.00,43.00,54.00,true
Position,WR,,Carrying,2871,1.00,10.00,13.00,18.00,23.00,28.00,31.00,37.00,50.00,true
Position,WR,,Catching,2871,12.00,21.00,25.00,31.00,38.00,45.00,49.00,56.00,70.00,true
Position,WR,,RouteRunning,2871,8.00,16.00,20.00,25.00,30.00,34.00,37.00,44.00,56.00,true
Position,WR,,ZoneCoverage,2871,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,31.00,true
Position,WR,,ManCoverage,2871,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,31.00,true
Position,WR,,Tackle,2871,0.00,2.00,5.00,8.00,11.00,16.00,19.00,24.00,29.00,true
Position,WR,,PassBlock,2871,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,19.00,true
Position,WR,,RunBlock,2871,3.00,7.00,10.00,13.00,19.00,32.00,35.00,38.00,47.00,true
Position,WR,,PassRush,2871,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,WR,,RunDefense,2871,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,WR,,ThrowPower,2871,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.30,30.00,true
Position,WR,,ThrowAccuracy,2871,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,31.00,true
Position,WR,,KickAccuracy,2871,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,WR,,KickPower,2871,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.00,17.00,true
Position,WR,,PuntAccuracy,2871,0.00,2.00,3.00,6.00,9.00,10.00,11.00,14.30,18.00,true
Position,WR,,PuntPower,2871,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,17.00,true
Position,OT,,Speed,2455,12.00,15.00,17.00,19.00,22.00,24.00,26.00,28.00,31.00,true
Position,OT,,Agility,2455,1.00,8.00,11.00,14.00,18.00,23.00,28.00,36.00,46.00,true
Position,OT,,FootballIQ,2455,5.00,11.00,14.00,19.00,24.00,29.00,32.00,38.00,46.00,true
Position,OT,,Strength,2455,29.00,35.00,39.00,44.00,50.00,55.00,59.00,64.46,76.00,true
Position,OT,,Carrying,2455,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,30.00,true
Position,OT,,Catching,2455,1.00,4.00,7.00,11.00,16.00,19.00,21.00,25.00,31.00,true
Position,OT,,RouteRunning,2455,0.00,1.00,3.00,5.00,8.00,10.00,10.00,14.00,16.00,true
Position,OT,,ZoneCoverage,2455,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,31.00,true
Position,OT,,ManCoverage,2455,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,31.00,true
Position,OT,,Tackle,2455,0.00,4.00,7.00,11.00,15.00,19.00,21.00,25.00,30.00,true
Position,OT,,PassBlock,2455,7.00,18.00,23.00,30.00,38.00,45.00,49.00,56.00,71.00,true
Position,OT,,RunBlock,2455,8.00,17.00,22.00,29.00,37.00,43.00,48.00,54.00,66.00,true
Position,OT,,PassRush,2455,0.00,2.00,5.00,8.00,12.00,17.00,20.00,24.00,29.00,true
Position,OT,,RunDefense,2455,0.00,2.00,4.00,7.00,10.00,12.00,14.00,18.00,22.00,true
Position,OT,,ThrowPower,2455,0.00,2.00,5.00,8.00,12.00,17.00,19.00,24.00,29.00,true
Position,OT,,ThrowAccuracy,2455,0.00,2.00,5.00,8.00,12.00,17.00,19.00,23.46,29.00,true
Position,OT,,KickAccuracy,2455,0.00,2.00,3.50,6.00,9.00,10.00,11.00,15.00,16.00,true
Position,OT,,KickPower,2455,0.00,2.00,3.50,6.00,9.00,10.00,11.00,14.00,17.00,true
Position,OT,,PuntAccuracy,2455,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,18.00,true
Position,OT,,PuntPower,2455,0.00,2.00,3.00,6.00,9.00,10.00,11.00,15.00,16.00,true
Position,P,,Speed,654,1.00,3.00,6.00,10.00,14.00,18.00,20.00,23.47,25.00,true
Position,P,,Agility,654,0.00,3.00,6.00,10.00,15.00,19.00,21.00,26.00,31.00,true
Position,P,,FootballIQ,654,2.00,8.30,11.00,14.00,19.00,23.00,25.00,28.00,33.00,true
Position,P,,Strength,654,0.00,2.00,3.00,6.00,8.00,10.00,11.00,14.00,16.00,true
Position,P,,Carrying,654,1.00,3.00,6.00,10.00,14.00,18.00,20.00,23.00,28.00,true
Position,P,,Catching,654,1.00,3.00,6.00,10.00,14.75,19.00,22.00,26.00,30.00,true
Position,P,,RouteRunning,654,0.00,1.00,3.00,6.00,8.00,10.00,10.00,14.00,15.00,true
Position,P,,ZoneCoverage,654,1.00,3.00,6.00,10.00,14.00,18.00,20.00,24.47,26.00,true
Position,P,,ManCoverage,654,0.00,3.00,6.00,10.00,14.00,18.00,21.00,24.00,28.00,true
Position,P,,Tackle,654,0.00,2.00,4.00,6.00,8.00,10.00,11.00,14.00,16.00,true
Position,P,,PassBlock,654,0.00,2.00,4.00,6.00,8.75,10.00,11.00,14.00,16.00,true
Position,P,,RunBlock,654,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,16.00,true
Position,P,,PassRush,654,0.00,2.00,4.00,6.00,9.00,10.00,11.00,14.00,16.00,true
Position,P,,RunDefense,654,0.00,2.00,4.00,6.00,9.00,10.00,11.00,15.00,17.00,true
Position,P,,ThrowPower,654,1.00,3.00,6.00,9.00,14.00,18.00,20.00,24.47,30.00,true
Position,P,,ThrowAccuracy,654,0.00,3.00,6.00,9.00,14.00,19.00,21.00,24.47,29.00,true
Position,P,,KickAccuracy,654,0.00,3.00,6.00,9.00,15.00,19.00,20.35,25.00,26.00,true
Position,P,,KickPower,654,1.00,3.00,6.00,10.00,14.00,19.00,21.00,25.00,28.00,true
