GameID,Season,Week,Home Team,Away Team,Neutral Site,PreSeason,Conference Champ,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info,NextGameID,HoA
1359,2027,2,MIA,CAR,0,1,0,0,0,TheLiberator,Sarge,Sunday Noon,Hard Rock Stadium,Miami Gardens,FL,,,0,
1360,2027,2,WAS,CIN,0,1,0,0,0,Ewade,Ezaco,Sunday Noon,FedExField,Landover,MD,,,0,
1361,2027,2,NO,NE,0,1,0,0,0,servo75,Curby4,Sunday Noon,Caesars Superdome,New Orleans,LA,,,0,
1362,2027,2,GB,DEN,0,1,0,0,0,JC,alexfall862,Sunday Noon,Lambeau Field,Green Bay,WI,,,0,
1363,2027,2,JAX,TB,0,1,0,0,0,Weeze,ATonOfLaw,Sunday Noon,TIAA Bank Field,Jacksonville,FL,,,0,
1364,2027,2,PIT,SEA,0,1,0,0,0,DramaticBacon,CoachCartier,Sunday Noon,Heinz Field,Pittsburgh,PA,,,0,
1365,2027,3,TEN,CAR,0,1,0,0,0,Dearden,Sarge,Sunday Afternoon,Nissan Stadium,Nashville,TN,,,0,
1366,2027,3,SEA,LV,0,1,0,0,0,CoachCartier,Jieret,Sunday Afternoon,Lumen Field,Seattle,WA,,,0,
1367,2027,3,SF,PIT,0,1,0,0,0,Dr_Novella,DramaticBacon,Sunday Afternoon,Levi's Stadium,Santa Clara,CA,,,0,
1368,2027,3,GB,NYJ,0,1,0,0,0,JC,Tryggr,Sunday Afternoon,Lambeau Field,Green Bay,WI,,,0,
1369,2027,3,DEN,HOU,0,1,0,0,0,alexfall862,lied,Sunday Afternoon,Empower Field at Mile High,Denver,CO,,,0,
1370,2027,3,IND,KC,0,1,0,0,0,npklemm,Newkbomb,Sunday Afternoon,Lucas Oil Stadium,Indianapolis,IN,,,0,
1371,2027,3,DET,WAS,0,1,0,0,0,jmjacobs,Ewade,Sunday Noon,Ford Field,Detroit,MI,,,0,
1372,2027,3,CLE,LAC,0,1,0,0,0,LordLittleButt,Dean,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
1373,2027,3,CIN,CHI,0,1,0,0,0,Ezaco,nemolee.exe,Sunday Noon,Paul Brown Stadium,Cincinnati,OH,,,0,
1374,2027,3,BAL,LAR,0,1,0,0,0,SyndaKyt,Vivid,Sunday Noon,M&T Bank Stadium,Baltimore,MD,,,0,
1375,2027,3,DAL,ARI,0,1,0,0,0,shawnzi83,tommygunner,Sunday Afternoon,AT&T Stadium,Arlington,TX,,,0,
1376,2027,3,MIN,NO,0,1,0,0,0,Bellwood,servo75,Sunday Afternoon,U.S. Bank Stadium,Minneapolis,MN,,,0,
1377,2027,3,BUF,PHI,0,1,0,0,0,Minnow,acewulf,Sunday Noon,Highmark Stadium,Orchard Park,NY,,,0,
1378,2027,3,NYG,JAX,0,1,0,0,0,thatfunk,Weeze,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
1379,2027,3,MIA,ATL,0,1,0,0,0,TheLiberator,mahrowkeen,Sunday Noon,Hard Rock Stadium,Miami Gardens,FL,,,0,
1380,2027,3,TB,NE,0,1,0,0,0,ATonOfLaw,Curby4,Sunday Noon,Raymond James Stadium,Tampa,FL,,,0,
1381,2027,1,MIA,LAC,0,0,0,0,0,TheLiberator,Dean,Sunday Night Football,Hard Rock Stadium,Miami Gardens,FL,,,0,
1382,2027,1,BUF,LV,0,0,0,0,0,Minnow,Jieret,Sunday Noon,Highmark Stadium,Orchard Park,NY,,,0,
1383,2027,1,PIT,TB,0,0,0,0,0,DramaticBacon,ATonOfLaw,Sunday Noon,Heinz Field,Pittsburgh,PA,,,0,
1384,2027,1,BAL,CLE,0,0,0,0,0,SyndaKyt,LordLittleButt,Sunday Noon,M&T Bank Stadium,Baltimore,MD,,,0,
1385,2027,1,TEN,DEN,0,0,0,0,0,Dearden,alexfall862,Sunday Afternoon,Nissan Stadium,Nashville,TN,,,0,
1386,2027,1,JAX,CIN,0,0,0,0,0,Weeze,Ezaco,Sunday Noon,TIAA Bank Field,Jacksonville,FL,,,0,
1387,2027,1,IND,HOU,0,0,0,0,0,npklemm,lied,Sunday Afternoon,Lucas Oil Stadium,Indianapolis,IN,,,0,
1388,2027,1,WAS,KC,0,0,0,0,0,Ewade,Newkbomb,Sunday Noon,FedExField,Landover,MD,,,0,
1389,2027,1,NYG,DAL,0,0,0,0,0,thatfunk,shawnzi83,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
1390,2027,1,CHI,PHI,0,0,0,0,0,nemolee.exe,acewulf,Sunday Afternoon,Soldier Field,Chicago,IL,,,0,
1391,2027,1,ATL,DET,0,0,0,0,0,mahrowkeen,jmjacobs,Sunday Noon,Mercedes-Benz Stadium,Atlanta,GA,,,0,
1392,2027,1,NO,CAR,0,0,0,0,0,servo75,Sarge,Monday Night Football,Caesars Superdome,New Orleans,LA,,,0,
1393,2027,1,LAR,MIN,0,0,0,0,0,Vivid,Bellwood,Thursday Night Football,SoFi Stadium,Inglewood,CA,,,0,
1394,2027,1,SEA,NE,0,0,0,0,0,CoachCartier,Curby4,Sunday Afternoon,Lumen Field,Seattle,WA,,,0,
1395,2027,1,SF,NYJ,0,0,0,0,0,Dr_Novella,Tryggr,Sunday Afternoon,Levi's Stadium,Santa Clara,CA,,,0,
1396,2027,1,ARI,GB,0,0,0,0,0,tommygunner,JC,Sunday Afternoon,State Farm Stadium,Glendale,AZ,,,0,
1397,2027,2,NYJ,KC,0,0,0,0,0,Tryggr,Newkbomb,Monday Night Football,MetLife Stadium,East Rutherford,NJ,,,0,
1398,2027,2,NE,MIA,0,0,0,0,0,Curby4,TheLiberator,Sunday Noon,Gillette Stadium,Foxborough,MA,,,0,
1399,2027,2,PIT,NO,1,0,0,0,0,DramaticBacon,servo75,Sunday Noon,Rogers Centre,Toronto,Canada,,,0,
1400,2027,2,CIN,BUF,0,0,0,0,0,Ezaco,Minnow,Sunday Noon,Paul Brown Stadium,Cincinnati,OH,,,0,
1401,2027,2,BAL,CAR,0,0,0,0,0,SyndaKyt,Sarge,Sunday Noon,M&T Bank Stadium,Baltimore,MD,,,0,
1402,2027,2,JAX,TEN,0,0,0,0,0,Weeze,Dearden,Sunday Noon,TIAA Bank Field,Jacksonville,FL,,,0,
1403,2027,2,HOU,SF,0,0,0,0,0,lied,Dr_Novella,Sunday Afternoon,NRG Stadium,Houston,TX,,,0,
1404,2027,2,IND,CLE,0,0,0,0,0,npklemm,LordLittleButt,Thursday Night Football,Lucas Oil Stadium,Indianapolis,IN,,,0,
1405,2027,2,DEN,DAL,0,0,0,0,0,alexfall862,shawnzi83,Sunday Night Football,Empower Field at Mile High,Denver,CO,,,0,
1406,2027,2,LAC,LV,0,0,0,0,0,Dean,Jieret,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
1407,2027,2,PHI,WAS,0,0,0,0,0,acewulf,Ewade,Sunday Noon,Lincoln Financial Field,Philadelphia,PA,,,0,
1408,2027,2,GB,CHI,0,0,0,0,0,JC,nemolee.exe,Sunday Afternoon,Lambeau Field,Green Bay,WI,,,0,
1409,2027,2,DET,MIN,0,0,0,0,0,jmjacobs,Bellwood,Sunday Afternoon,Ford Field,Detroit,MI,,,0,
1410,2027,2,TB,ATL,0,0,0,0,0,ATonOfLaw,mahrowkeen,Sunday Noon,Raymond James Stadium,Tampa,FL,,,0,
1411,2027,2,SEA,LAR,0,0,0,0,0,CoachCartier,Vivid,Sunday Afternoon,Lumen Field,Seattle,WA,,,0,
1412,2027,2,ARI,NYG,0,0,0,0,0,tommygunner,thatfunk,Sunday Afternoon,State Farm Stadium,Glendale,AZ,,,0,
1413,2027,3,BUF,NE,0,0,0,0,0,Minnow,Curby4,Sunday Night Football,Highmark Stadium,Orchard Park,NY,,,0,
1414,2027,3,PIT,MIA,0,0,0,0,0,DramaticBacon,TheLiberator,Sunday Noon,Heinz Field,Pittsburgh,PA,,,0,
1415,2027,3,CLE,NYJ,0,0,0,0,0,LordLittleButt,Tryggr,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
1416,2027,3,TEN,IND,0,0,0,0,0,Dearden,npklemm,Sunday Noon,Nissan Stadium,Nashville,TN,,,0,
1417,2027,3,HOU,CIN,0,0,0,0,0,lied,Ezaco,Sunday Afternoon,NRG Stadium,Houston,TX,,,0,
1418,2027,3,DEN,CAR,0,0,0,0,0,alexfall862,Sarge,Sunday Afternoon,Empower Field at Mile High,Denver,CO,,,0,
1419,2027,3,KC,LAC,0,0,0,0,0,Newkbomb,Dean,Sunday Afternoon,Arrowhead Stadium,Kansas City,MO,,,0,
1420,2027,3,LV,PHI,1,0,0,0,0,Jieret,acewulf,Sunday Afternoon,Estadio Azteca,Mexico City,Mexico,,,0,
1421,2027,3,WAS,LAR,0,0,0,0,0,Ewade,Vivid,Monday Night Football,FedExField,Landover,MD,,,0,
1422,2027,3,DAL,ATL,0,0,0,0,0,shawnzi83,mahrowkeen,Sunday Afternoon,AT&T Stadium,Arlington,TX,,,0,
1423,2027,3,NYG,NO,0,0,0,0,0,thatfunk,servo75,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
1424,2027,3,GB,SEA,0,0,0,0,0,JC,CoachCartier,Sunday Afternoon,Lambeau Field,Green Bay,WI,,,0,
1425,2027,3,DET,ARI,0,0,0,0,0,jmjacobs,tommygunner,Sunday Noon,Ford Field,Detroit,MI,,,0,
1426,2027,3,CHI,SF,0,0,0,0,0,nemolee.exe,Dr_Novella,Sunday Afternoon,Soldier Field,Chicago,IL,,,0,
1427,2027,3,MIN,JAX,0,0,0,0,0,Bellwood,Weeze,Sunday Noon,U.S. Bank Stadium,Minneapolis,MN,,,0,
1428,2027,3,TB,BAL,0,0,0,0,0,ATonOfLaw,SyndaKyt,Thursday Night Football,Raymond James Stadium,Tampa,FL,,,0,
1429,2027,4,MIA,NYJ,0,0,0,0,0,TheLiberator,Tryggr,Sunday Noon,Hard Rock Stadium,Miami Gardens,FL,,,0,
1430,2027,4,CIN,IND,0,0,0,0,0,Ezaco,npklemm,Sunday Afternoon,Paul Brown Stadium,Cincinnati,OH,,,0,
1431,2027,4,BAL,TEN,1,0,0,0,0,SyndaKyt,Dearden,Sunday Noon,Wembley Stadium,London,United Kingdom,,,0,
1432,2027,4,JAX,KC,0,0,0,0,0,Weeze,Newkbomb,Sunday Noon,TIAA Bank Field,Jacksonville,FL,,,0,
1433,2027,4,HOU,LAC,0,0,0,0,0,lied,Dean,Sunday Night Football,NRG Stadium,Houston,TX,,,0,
1434,2027,4,DEN,PIT,0,0,0,0,0,alexfall862,DramaticBacon,Sunday Afternoon,Empower Field at Mile High,Denver,CO,,,0,
1435,2027,4,LV,NE,0,0,0,0,0,Jieret,Curby4,Sunday Afternoon,Allegiant Stadium,Paradise,NV,,,0,
1436,2027,4,WAS,DAL,0,0,0,0,0,Ewade,shawnzi83,Sunday Noon,FedExField,Landover,MD,,,0,
1437,2027,4,PHI,NYG,0,0,0,0,0,acewulf,thatfunk,Monday Night Football,Lincoln Financial Field,Philadelphia,PA,,,0,
1438,2027,4,MIN,GB,0,0,0,0,0,Bellwood,JC,Sunday Afternoon,U.S. Bank Stadium,Minneapolis,MN,,,0,
1439,2027,4,CAR,TB,0,0,0,0,0,Sarge,ATonOfLaw,Sunday Noon,Bank of America Stadium,Charlotte,NC,,,0,
1440,2027,4,ATL,CLE,0,0,0,0,0,mahrowkeen,LordLittleButt,Sunday Noon,Mercedes-Benz Stadium,Atlanta,GA,,,0,
1441,2027,4,NO,CHI,0,0,0,0,0,servo75,nemolee.exe,Sunday Noon,Caesars Superdome,New Orleans,LA,,,0,
1442,2027,4,LAR,BUF,0,0,0,0,0,Vivid,Minnow,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
1443,2027,4,SEA,ARI,0,0,0,0,0,CoachCartier,tommygunner,Thursday Night Football,Lumen Field,Seattle,WA,,,0,
1444,2027,4,SF,DET,0,0,0,0,0,Dr_Novella,jmjacobs,Sunday Afternoon,Levi's Stadium,Santa Clara,CA,,,0,
1445,2027,5,MIA,TEN,0,0,0,0,0,TheLiberator,Dearden,Sunday Noon,Hard Rock Stadium,Miami Gardens,FL,,,0,
1446,2027,5,NYJ,SEA,0,0,0,0,0,Tryggr,CoachCartier,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
1447,2027,5,BUF,SF,0,0,0,0,0,Minnow,Dr_Novella,Monday Night Football,Highmark Stadium,Orchard Park,NY,,,0,
1448,2027,5,NE,MIN,0,0,0,0,0,Curby4,Bellwood,Sunday Noon,Gillette Stadium,Foxborough,MA,,,0,
1449,2027,5,CLE,JAX,0,0,0,0,0,LordLittleButt,Weeze,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
1450,2027,5,CIN,PIT,0,0,0,0,0,Ezaco,DramaticBacon,Sunday Afternoon,Paul Brown Stadium,Cincinnati,OH,,,0,
1451,2027,5,BAL,IND,0,0,0,0,0,SyndaKyt,npklemm,Sunday Noon,M&T Bank Stadium,Baltimore,MD,,,0,
1452,2027,5,KC,DEN,0,0,0,0,0,Newkbomb,alexfall862,Sunday Afternoon,Arrowhead Stadium,Kansas City,MO,,,0,
1453,2027,5,LAC,PHI,0,0,0,0,0,Dean,acewulf,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
1454,2027,5,DAL,LV,0,0,0,0,0,shawnzi83,Jieret,Sunday Afternoon,AT&T Stadium,Arlington,TX,,,0,
1455,2027,5,GB,WAS,0,0,0,0,0,JC,Ewade,Sunday Night Football,Lambeau Field,Green Bay,WI,,,0,
1456,2027,5,DET,HOU,0,0,0,0,0,jmjacobs,lied,Sunday Noon,Ford Field,Detroit,MI,,,0,
1457,2027,5,ATL,NO,0,0,0,0,0,mahrowkeen,servo75,Thursday Night Football,Mercedes-Benz Stadium,Atlanta,GA,,,0,
1458,2027,5,TB,NYG,0,0,0,0,0,ATonOfLaw,thatfunk,Sunday Noon,Raymond James Stadium,Tampa,FL,,,0,
1459,2027,5,LAR,CAR,0,0,0,0,0,Vivid,Sarge,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
1460,2027,5,ARI,CHI,0,0,0,0,0,tommygunner,nemolee.exe,Sunday Afternoon,State Farm Stadium,Glendale,AZ,,,0,
1461,2027,6,MIA,DEN,0,0,0,0,0,TheLiberator,alexfall862,Monday Night Football,Hard Rock Stadium,Miami Gardens,FL,,,0,
1462,2027,6,NYJ,BUF,0,0,0,0,0,Tryggr,Minnow,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
1463,2027,6,CLE,CIN,0,0,0,0,0,LordLittleButt,Ezaco,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
1464,2027,6,BAL,NE,0,0,0,0,0,SyndaKyt,Curby4,Sunday Noon,M&T Bank Stadium,Baltimore,MD,,,0,
1465,2027,6,JAX,SEA,0,0,0,0,0,Weeze,CoachCartier,Sunday Night Football,TIAA Bank Field,Jacksonville,FL,,,0,
1466,2027,6,IND,ARI,0,0,0,0,0,npklemm,tommygunner,Sunday Afternoon,Lucas Oil Stadium,Indianapolis,IN,,,0,
1467,2027,6,LAC,NO,0,0,0,0,0,Dean,servo75,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
1468,2027,6,PHI,KC,0,0,0,0,0,acewulf,Newkbomb,Thursday Night Football,Lincoln Financial Field,Philadelphia,PA,,,0,
1469,2027,6,NYG,WAS,0,0,0,0,0,thatfunk,Ewade,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
1470,2027,6,GB,HOU,0,0,0,0,0,JC,lied,Sunday Afternoon,Lambeau Field,Green Bay,WI,,,0,
1471,2027,6,CHI,TEN,0,0,0,0,0,nemolee.exe,Dearden,Sunday Afternoon,Soldier Field,Chicago,IL,,,0,
1472,2027,6,MIN,TB,0,0,0,0,0,Bellwood,ATonOfLaw,Sunday Afternoon,U.S. Bank Stadium,Minneapolis,MN,,,0,
1473,2027,6,CAR,DAL,0,0,0,0,0,Sarge,shawnzi83,Sunday Noon,Bank of America Stadium,Charlotte,NC,,,0,
1474,2027,6,ATL,PIT,0,0,0,0,0,mahrowkeen,DramaticBacon,Sunday Noon,Mercedes-Benz Stadium,Atlanta,GA,,,0,
1475,2027,6,SF,LAR,0,0,0,0,0,Dr_Novella,Vivid,Sunday Afternoon,Levi's Stadium,Santa Clara,CA,,,0,
1476,2027,7,MIA,SEA,0,0,0,0,0,TheLiberator,CoachCartier,Sunday Noon,Hard Rock Stadium,Miami Gardens,FL,,,0,
1477,2027,7,NE,KC,0,0,0,0,0,Curby4,Newkbomb,Sunday Noon,Gillette Stadium,Foxborough,MA,,,0,
1478,2027,7,PIT,WAS,0,0,0,0,0,DramaticBacon,Ewade,Sunday Noon,Heinz Field,Pittsburgh,PA,,,0,
1479,2027,7,CIN,TEN,0,0,0,0,0,Ezaco,Dearden,Monday Night Football,Paul Brown Stadium,Cincinnati,OH,,,0,
1480,2027,7,HOU,JAX,0,0,0,0,0,lied,Weeze,Sunday Afternoon,NRG Stadium,Houston,TX,,,0,
1481,2027,7,IND,MIN,0,0,0,0,0,npklemm,Bellwood,Sunday Afternoon,Lucas Oil Stadium,Indianapolis,IN,,,0,
1482,2027,7,LV,DEN,0,0,0,0,0,Jieret,alexfall862,Sunday Afternoon,Allegiant Stadium,Paradise,NV,,,0,
1483,2027,7,PHI,DAL,0,0,0,0,0,acewulf,shawnzi83,Sunday Noon,Lincoln Financial Field,Philadelphia,PA,,,0,
1484,2027,7,NYG,LAC,0,0,0,0,0,thatfunk,Dean,Thursday Night Football,MetLife Stadium,East Rutherford,NJ,,,0,
1485,2027,7,GB,LAR,0,0,0,0,0,JC,Vivid,Sunday Afternoon,Lambeau Field,Green Bay,WI,,,0,
1486,2027,7,CHI,DET,0,0,0,0,0,nemolee.exe,jmjacobs,Sunday Afternoon,Soldier Field,Chicago,IL,,,0,
1487,2027,7,CAR,ATL,0,0,0,0,0,Sarge,mahrowkeen,Sunday Noon,Bank of America Stadium,Charlotte,NC,,,0,
1488,2027,7,TB,NO,0,0,0,0,0,ATonOfLaw,servo75,Sunday Noon,Raymond James Stadium,Tampa,FL,,,0,
1489,2027,7,ARI,SF,0,0,0,0,0,tommygunner,Dr_Novella,Sunday Night Football,State Farm Stadium,Glendale,AZ,,,0,
1490,2027,8,BUF,CHI,0,0,0,0,0,Minnow,nemolee.exe,Thursday Night Football,Highmark Stadium,Orchard Park,NY,,,0,
1491,2027,8,PIT,BAL,0,0,0,0,0,DramaticBacon,SyndaKyt,Monday Night Football,Heinz Field,Pittsburgh,PA,,,0,
1492,2027,8,CLE,TB,0,0,0,0,0,LordLittleButt,ATonOfLaw,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
1493,2027,8,TEN,GB,0,0,0,0,0,Dearden,JC,Sunday Noon,Nissan Stadium,Nashville,TN,,,0,
1494,2027,8,DEN,NYG,0,0,0,0,0,alexfall862,thatfunk,Sunday Afternoon,Empower Field at Mile High,Denver,CO,,,0,
1495,2027,8,KC,LV,0,0,0,0,0,Newkbomb,Jieret,Sunday Afternoon,Arrowhead Stadium,Kansas City,MO,,,0,
1496,2027,8,LAC,NYJ,1,0,0,0,0,Dean,Tryggr,Sunday Afternoon,Tokyo Dome,Tokyo,Japan,,,0,
1497,2027,8,WAS,CAR,0,0,0,0,0,Ewade,Sarge,Sunday Night Football,FedExField,Landover,MD,,,0,
1498,2027,8,PHI,ATL,0,0,0,0,0,acewulf,mahrowkeen,Sunday Noon,Lincoln Financial Field,Philadelphia,PA,,,0,
1499,2027,8,DET,DAL,0,0,0,0,0,jmjacobs,shawnzi83,Sunday Noon,Ford Field,Detroit,MI,,,0,
1500,2027,8,NO,CIN,0,0,0,0,0,servo75,Ezaco,Sunday Noon,Caesars Superdome,New Orleans,LA,,,0,
1501,2027,8,LAR,NE,0,0,0,0,0,Vivid,Curby4,Sunday Noon,SoFi Stadium,Inglewood,CA,,,0,
1502,2027,8,SEA,MIN,0,0,0,0,0,CoachCartier,Bellwood,Sunday Afternoon,Lumen Field,Seattle,WA,,,0,
1503,2027,8,SF,MIA,0,0,0,0,0,Dr_Novella,TheLiberator,Sunday Afternoon,Levi's Stadium,Santa Clara,CA,,,0,
1504,2027,9,MIA,LAR,0,0,0,0,0,TheLiberator,Vivid,Sunday Night Football,Hard Rock Stadium,Miami Gardens,FL,,,0,
1505,2027,9,NYJ,DET,0,0,0,0,0,Tryggr,jmjacobs,Monday Night Football,MetLife Stadium,East Rutherford,NJ,,,0,
1506,2027,9,BUF,ARI,0,0,0,0,0,Minnow,tommygunner,Sunday Noon,Highmark Stadium,Orchard Park,NY,,,0,
1507,2027,9,NE,IND,0,0,0,0,0,Curby4,npklemm,Sunday Noon,Gillette Stadium,Foxborough,MA,,,0,
1508,2027,9,PIT,CIN,0,0,0,0,0,DramaticBacon,Ezaco,Sunday Noon,Heinz Field,Pittsburgh,PA,,,0,
1509,2027,9,CLE,BAL,0,0,0,0,0,LordLittleButt,SyndaKyt,Sunday Afternoon,FirstEnergy Stadium,Cleveland,OH,,,0,
1510,2027,9,TEN,HOU,0,0,0,0,0,Dearden,lied,Sunday Afternoon,Nissan Stadium,Nashville,TN,,,0,
1511,2027,9,JAX,GB,0,0,0,0,0,Weeze,JC,Sunday Noon,TIAA Bank Field,Jacksonville,FL,,,0,
1512,2027,9,KC,NYG,1,0,0,0,0,Newkbomb,thatfunk,Sunday Afternoon,Croke Park,Dublin,Ireland,,,0,
1513,2027,9,LV,TB,0,0,0,0,0,Jieret,ATonOfLaw,Thursday Night Football,Allegiant Stadium,Paradise,NV,,,0,
1514,2027,9,WAS,PHI,0,0,0,0,0,Ewade,acewulf,Sunday Noon,FedExField,Landover,MD,,,0,
1515,2027,9,DAL,LAC,0,0,0,0,0,shawnzi83,Dean,Sunday Afternoon,AT&T Stadium,Arlington,TX,,,0,
1516,2027,9,MIN,CHI,0,0,0,0,0,Bellwood,nemolee.exe,Sunday Afternoon,U.S. Bank Stadium,Minneapolis,MN,,,0,
1517,2027,9,CAR,NO,0,0,0,0,0,Sarge,servo75,Sunday Noon,Bank of America Stadium,Charlotte,NC,,,0,
1518,2027,10,MIA,NE,0,0,0,0,0,TheLiberator,Curby4,Sunday Noon,Hard Rock Stadium,Miami Gardens,FL,,,0,
1519,2027,10,BUF,NYJ,0,0,0,0,0,Minnow,Tryggr,Sunday Noon,Highmark Stadium,Orchard Park,NY,,,0,
1520,2027,10,CIN,PHI,0,0,0,0,0,Ezaco,acewulf,Sunday Night Football,Paul Brown Stadium,Cincinnati,OH,,,0,
1521,2027,10,BAL,ATL,0,0,0,0,0,SyndaKyt,mahrowkeen,Sunday Noon,M&T Bank Stadium,Baltimore,MD,,,0,
1522,2027,10,TEN,PIT,0,0,0,0,0,Dearden,DramaticBacon,Sunday Noon,Nissan Stadium,Nashville,TN,,,0,
1523,2027,10,HOU,MIN,0,0,0,0,0,lied,Bellwood,Monday Night Football,NRG Stadium,Houston,TX,,,0,
1524,2027,10,IND,JAX,0,0,0,0,0,npklemm,Weeze,Sunday Afternoon,Lucas Oil Stadium,Indianapolis,IN,,,0,
1525,2027,10,DEN,LAC,0,0,0,0,0,alexfall862,Dean,Thursday Night Football,Empower Field at Mile High,Denver,CO,,,0,
1526,2027,10,LV,WAS,0,0,0,0,0,Jieret,Ewade,Sunday Afternoon,Allegiant Stadium,Paradise,NV,,,0,
1527,2027,10,DAL,NYG,0,0,0,0,0,shawnzi83,thatfunk,Sunday Afternoon,AT&T Stadium,Arlington,TX,,,0,
1528,2027,10,GB,DET,0,0,0,0,0,JC,jmjacobs,Sunday Noon,Lambeau Field,Green Bay,WI,,,0,
1529,2027,10,CAR,CLE,0,0,0,0,0,Sarge,LordLittleButt,Sunday Noon,Bank of America Stadium,Charlotte,NC,,,0,
